Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
546735,Queen Mary Univeristy of London,,3561.0,6IyCXYAAAAAJ,{'indices'},biology|systematics|ecological genomics,Elizabeth Clare,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6IyCXYAAAAAJ&citpid=2,2248.0,29,26,44,41,0,0
546736,"Director, Centre for Biodiversity Genomics, University of Guelph",,83156.0,VScbxfoAAAAJ,{'indices'},Biodiversity Science|Evolution|Genetics|Ecology|DNA barcoding,Paul DN Hebert,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VScbxfoAAAAJ&citpid=2,34851.0,120,75,462,301,0,0
546737,"Professor Emeritus of Physiogical Ecology, Ben-Gurion University of the Negev",,4527.0,-2orJ8MAAAAJ,{'indices'},Physiological and Biophysical Ecology,Berry Pinshow,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-2orJ8MAAAAJ&citpid=2,1064.0,37,16,118,39,0,0
546738,Ben-Gurion University of the Negev,,2671.0,iWten2oAAAAJ,{'indices'},Physiological Ecology|Ecology|Conservation Biology|Reproduction|Nutritional Ecology,Carmi Korine,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-2orJ8MAAAAJ&citpid=2,1215.0,30,20,53,37,0,0
546739,Max Planck Institute for Ornithology,,774.0,qtgiCy0AAAAJ,{'indices'},Sensory ecology & physiology|Predator-prey-interactions|Active Sensing & Echolocation,Holger R. Goerlitz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qtgiCy0AAAAJ&citpid=5,497.0,16,13,20,16,0,0
546740,University of Waterloo,,1452.0,By8vI7wAAAAJ,{'indices'},,Liam McGuire,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qtgiCy0AAAAJ&citpid=5,1037.0,22,19,33,32,0,0
546741,"Curator of Arachnida and Myriapoda, American Museum of Natural History",,4392.0,fU0VpL0AAAAJ,{'indices'},Chelicerata|Systematics|Morphology|Evolution|Biogeography,Lorenzo Prendini,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fU0VpL0AAAAJ&citpid=3,2119.0,34,25,76,48,0,0
546742,Michigan State University,,19382.0,lcaBM88AAAAJ,{'indices'},environment|ecology|agriculture|water|biogeochemistry,Stephen K. Hamilton,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lcaBM88AAAAJ&citpid=2,8177.0,74,48,164,136,0,0
546743,Kemin Industries,,470.0,rO-H_BIAAAAJ,{'indices'},,Geoff Horst,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lcaBM88AAAAJ&citpid=2,317.0,10,8,10,7,0,0
546744,"Ecology and Evolutionary Biology, University of Michigan",,3596.0,zcIpOz8AAAAJ,{'indices'},Freshwater microbial ecology|metagenomics|microbial evolution,Vincent Denef,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zcIpOz8AAAAJ&citpid=2,1506.0,30,24,37,33,0,0
546745,University of Georgia,,369.0,o0nJHzwAAAAJ,{'indices'},quantitative ecology|population dynamics|disease dynamics|extinction,RajReni B Kaul,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zcIpOz8AAAAJ&citpid=2,259.0,8,8,8,8,0,0
