Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
576211,Professor of Chemistry,,121767.0,Zs9227oAAAAJ,{'indices'},Materials Chemistry|Solid State Chemistry,C. N. R. Rao,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Zs9227oAAAAJ&citpid=2,33819.0,156,82,1332,542,0,0
576212,Sevengenes,,1903.0,YQKxrqEAAAAJ,{'indices'},Biopharmaceuticals and Materials Science,Ayyappan Subbiah,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YQKxrqEAAAAJ&citpid=2,511.0,25,13,34,16,0,0
576213,"JNCASR, UCSB, Mitsubishi Chemicals, 3M Company",,4031.0,0Ir4q5AAAAAJ,{'indices'},Materials|Nanotechnology|Optics,Neeraj Sharma,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0Ir4q5AAAAAJ&citpid=1,654.0,30,10,56,11,0,0
576214,UCSF,,17676.0,FIxYwZwAAAAJ,{'indices'},,Edward Murphy,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0Ir4q5AAAAAJ&citpid=1,5744.0,68,41,214,133,0,0
576215,"Professor, Technical University of Denmark",,11159.0,1HmlZ2UAAAAJ,{'indices'},Drug delivery|Immunotherapy|nanochemistry|biomedical nanotechnology,Thomas L. Andresen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1HmlZ2UAAAAJ&citpid=8,6590.0,46,36,133,112,0,0
576216,"Associate Professor of Medical Radiation Physics, Lund University",,2809.0,qTvBpJ0AAAAJ,{'indices'},Medical Physics|Radiation Oncology|Radiation Biology|Diagnostic Radiology,Per Munck af Rosenschold,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qTvBpJ0AAAAJ&citpid=3,1792.0,29,24,67,49,0,0
576217,"Senior Researcher, DTU DTU Health Tech",,974.0,epsSqIgAAAAJ,{'indices'},Cancer therapy,Anders E Hansen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qTvBpJ0AAAAJ&citpid=3,737.0,18,15,24,21,0,0
576218,Herlev-Gentofte Hospital,,1070.0,LmtdqScAAAAJ,{'indices'},Oncology|Radiotherapy|Lung Cancer|Imaging,Gitte Fredberg Persson,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LmtdqScAAAAJ&citpid=5,686.0,18,16,33,27,0,0
576219,"Associate Professor, DTU Health Technology, The Technical University of Denmark",,2365.0,RnhcFe8AAAAJ,{'indices'},Biomaterials|Drug delivery|Medical Imaging|Radiotherapy,Jonas R. Henriksen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RnhcFe8AAAAJ&citpid=2,1438.0,24,21,29,24,0,0
576220,"Medical physicist PhD, Rigshospitalet, Denmark",,983.0,2IyuSxoAAAAJ,{'indices'},Radiation Oncology,Mirjana Josipovic,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2IyuSxoAAAAJ&citpid=3,691.0,18,15,23,21,0,0
576221,"Department of radiation physics, Skånes universitetssjukhus",,419.0,L5ffsgsAAAAJ,{'indices'},radiotherapy,Jonas Scherman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2IyuSxoAAAAJ&citpid=3,322.0,9,8,9,8,0,0
576222,"Professor i onkologi, Københavns Universitet",,22002.0,0d1cfdsAAAAJ,{'indices'},Onkologi|hæmatologi|radioterapi,Lena Specht,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0d1cfdsAAAAJ&citpid=2,9638.0,66,47,183,139,0,0
576223,"Professor, Acting Head of Division, DTU Health Tech, Technical University of Denmark",,15020.0,1y_stdoAAAAJ,{'indices'},,Rolf Henrik Berg,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1y_stdoAAAAJ&citpid=2,2574.0,36,18,59,29,0,0
576224,"Senior Scientist, The Hevesy Laboratory (Technical University of Denmark)",,261.0,_5bPsgQAAAAJ,{'indices'},Radiochemistry|drug delivery|internal radiotherapy|nanomedicine|organic synthesis,Andreas Ingemann Jensen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_5bPsgQAAAAJ&citpid=5,222.0,9,9,9,8,0,0
576225,"University of Manchester, University of Oxford",,4176.0,A5X5-nkAAAAJ,{'indices'},Radiotherapy|Imaging|Epidemiology,Marianne Aznar,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=A5X5-nkAAAAJ&citpid=2,2564.0,34,27,76,60,0,0
576226,"Chemist at the Clinical Biochemical Department, Glostrup Hospital",,470.0,sJLh9EMAAAAJ,{'indices'},nanotechnology,Lise Feldborg,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=A5X5-nkAAAAJ&citpid=2,203.0,10,8,10,8,0,0
