Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
253536,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",@umontreal.ca,369856,kukA0LcAAAAJ,{'indices'},Machine learning|deep learning|artificial intelligence,Yoshua Bengio,https://scholar.google.com/citations?view_op=medium_photo&user=kukA0LcAAAAJ,326311,179,160,612,538,1,1
253537,Co-Founder and Chief Scientist of OpenAI,@openai.com,222407,x04W_mMAAAAJ,{'indices'},Machine Learning|Neural Networks|Artificial Intelligence|Deep Learning,Ilya Sutskever,https://scholar.google.com/citations?view_op=medium_photo&user=x04W_mMAAAAJ,209831,58,57,77,74,1,1
253538,Chief Scientist/Managing Director of Megvii (Face++),@megvii.com,178866,ALVSZAYAAAAJ,{'indices'},Computer Vision|Deep Learning|Computer Graphics,Jian Sun,https://scholar.google.com/citations?view_op=medium_photo&user=ALVSZAYAAAAJ,158632,104,89,250,229,1,1
253539,"Professor of Computer Science and Linguistics, Stanford University",@stanford.edu,167276,1zmDOdwAAAAJ,{'indices'},Natural Language Processing|Computational Linguistics|Deep Learning,Christopher D Manning,https://scholar.google.com/citations?view_op=medium_photo&user=1zmDOdwAAAAJ,101057,138,101,359,297,1,1
253540,Stanford University,@cs.stanford.edu,165356,mG4imMEAAAAJ,{'indices'},Machine Learning|Deep Learning|AI,Andrew Ng,https://scholar.google.com/citations?view_op=medium_photo&user=mG4imMEAAAAJ,102009,130,103,275,249,1,1
253541,New York University,@nyu.edu,163891,EZjSxgwAAAAJ,{'indices'},Particle Physics|deep learning|Data Science|Statistics|Open Science,Kyle Cranmer,https://scholar.google.com/citations?view_op=medium_photo&user=EZjSxgwAAAAJ,101609,165,135,696,610,1,1
253542,Poornima University,@poornima.edu.in,149662,b-IqFKkAAAAJ,{'indices'},Machine Learning|Deep Learning,Saurab Dutta,https://scholar.google.com/citations?view_op=medium_photo&user=b-IqFKkAAAAJ,91320,182,142,1113,942,1,1
253543,Lawrence Berkeley National Laboratory,@lbl.gov,147727,COnXcM0AAAAJ,{'indices'},Deep learning|particle physics|high-energy physics|philosophy,Wahid Bhimji,https://scholar.google.com/citations?view_op=medium_photo&user=COnXcM0AAAAJ,77020,188,139,802,598,1,1
253544,Amazon Web Services,@smola.org,147196,Tb0ZrYwAAAAJ,{'indices'},Machine Learning|Deep Learning|Systems,Alex Smola,https://scholar.google.com/citations?view_op=medium_photo&user=Tb0ZrYwAAAAJ,67670,130,97,341,264,1,1
253545,"Associate Professor, University of Bologna",@bo.infn.it,143861,7_xEzmUAAAAJ,{'indices'},High Energy Physics|Software/Computing|Big Data|Machine Learning|Deep Learning,Daniele Bonacorsi,https://scholar.google.com/citations?view_op=medium_photo&user=7_xEzmUAAAAJ,89821,164,137,738,611,1,1
253546,"Postdoc, University of California, Santa Cruz",@sas.upenn.edu,141475,7-0GbXEAAAAJ,{'indices'},Deep Learning|Particle Physics,Ryan Reece,https://scholar.google.com/citations?view_op=medium_photo&user=7-0GbXEAAAAJ,88333,158,132,551,518,1,1
253547,,@cs.stanford.edu,128194,iYN86KEAAAAJ,{'indices'},Deep Learning,Ian Goodfellow,https://scholar.google.com/citations?view_op=medium_photo&user=iYN86KEAAAAJ,125023,69,68,106,104,1,1
253548,NIO,@nio.com,119932,AUhj438AAAAJ,{'indices'},Computer Vision|Deep Learning|Autonomous Driving,Shaoqing Ren,https://scholar.google.com/citations?view_op=medium_photo&user=AUhj438AAAAJ,117655,14,14,14,14,1,1
253549,"UPMC Professor, Machine Learning Department, CMU",@cs.cmu.edu,108392,ITZ1e7MAAAAJ,{'indices'},Machine Learning|Artificial Intelligence|Deep Learning,Ruslan Salakhutdinov,https://scholar.google.com/citations?view_op=medium_photo&user=ITZ1e7MAAAAJ,89439,91,81,185,179,1,1
253550,Research Scientist at Google DeepMind,@google.com,100447,NkzyCvUAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Deep Learning|Speech|Vision,Oriol Vinyals,https://scholar.google.com/citations?view_op=medium_photo&user=NkzyCvUAAAAJ,96288,75,71,118,105,1,1
253551,"Research Scientist, Google DeepMind",@google.com,99194,jEANvfgAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Deep Learning,Scott Reed,https://scholar.google.com/citations?view_op=medium_photo&user=jEANvfgAAAAJ,95933,25,25,31,28,1,1
253552,,@physics.umn.edu,96782,MGzxB68AAAAJ,{'indices'},Deep learning|Particle physics,Alexander Gude,https://scholar.google.com/citations?view_op=medium_photo&user=MGzxB68AAAAJ,62387,130,111,323,312,1,1
253553,Google DeepMind,@google.com,89766,L7lMQkQAAAAJ,{'indices'},Deep Learning,Karen Simonyan,https://scholar.google.com/citations?view_op=medium_photo&user=L7lMQkQAAAAJ,86512,45,43,52,50,1,1
253554,"Research Scientist, Google",@google.com,89087,0nPi5YYAAAAJ,{'indices'},Deep Learning|Computer Vision|Robotics|Self-Supervised Learning,Pierre Sermanet,https://scholar.google.com/citations?view_op=medium_photo&user=0nPi5YYAAAAJ,84367,24,21,33,28,1,1
253555,"Research Scientist, Google Brain",@google.com,87795,yyIoQu4AAAAJ,{'indices'},Machine Learning|Deep Learning|Neural Networks|Variational Inference|Identifiability,Diederik P. Kingma,https://scholar.google.com/citations?view_op=medium_photo&user=yyIoQu4AAAAJ,86386,22,22,24,24,1,1
253556,"Senior Researcher, Zurich University of Applied Sciences (ZHAW)",@zhaw.ch,85357,ZgO3g3QAAAAJ,{'indices'},Particle Physics|Deep Learning|Artificial Intelligence,Frank-Peter Schilling,https://scholar.google.com/citations?view_op=medium_photo&user=ZgO3g3QAAAAJ,37446,140,87,345,273,1,1
253557,University of Illinois at Urbana-Champaign,@cern.ch,84990,FC5ONVMAAAAJ,{'indices'},Higgs and Top Physics|Deep Learning|Large Scale Distributed Data Analysis|Sports Analytics|Complex Systems,Austin Basye,https://scholar.google.com/citations?view_op=medium_photo&user=FC5ONVMAAAAJ,52576,114,96,259,247,1,1
253558,DeepMind,@kavukcuoglu.org,79056,sGFyDIUAAAAJ,{'indices'},deep learning|machine learning|computer vision,koray kavukcuoglu,https://scholar.google.com/citations?view_op=medium_photo&user=sGFyDIUAAAAJ,74011,65,64,83,78,1,1
253559,you.com,@stanford.edu,77957,FaOcyfMAAAAJ,{'indices'},natural language processing|deep learning|machine learning|artificial intelligence|computer vision,Richard Socher,https://scholar.google.com/citations?view_op=medium_photo&user=FaOcyfMAAAAJ,69748,55,54,141,138,1,1
253560,International Rice Research Institute,@ieee.org,73223,4ul1v50AAAAJ,{'indices'},Artificial Intelligence|Deep Learning|Genomics|Gene-editing,Ajay Kumar,https://scholar.google.com/citations?view_op=medium_photo&user=4ul1v50AAAAJ,42221,124,93,972,788,1,1
253561,"Radiation Therapy Medical Physics Group, Dept. Oncology, University of Oxford",@oncology.ox.ac.uk,65903,4uTfvSQAAAAJ,{'indices'},Particle Physics|Medical Physics|Medical Imaging|Deep Learning,Tom Whyntie,https://scholar.google.com/citations?view_op=medium_photo&user=4uTfvSQAAAAJ,31359,92,61,150,123,1,1
253562,New York University,@nyu.edu,65118,0RAmmIAAAAAJ,{'indices'},Machine Learning|Deep Learning,Kyunghyun Cho,https://scholar.google.com/citations?view_op=medium_photo&user=0RAmmIAAAAAJ,62982,65,63,152,149,1,1
